53:27:193	|	21	|	00F80C00		|	2010001			MOUSEACTIVATE = 0x0021;

53:27:193	|	46	|	00000000		|	1C68DC30		WINDOWPOSCHANGING = 0x0046;
53:27:194	|	47	|	00000000		|	1C68DC30		WINDOWPOSCHANGED = 0x0047;
53:27:194	|	1C	|	00000001		|	0			ACTIVATEAPP = 0x001C;
53:27:194	|	86	|	00000001		|	0			NCACTIVATE = 0x0086;
	53:27:194	|	6	|	00000002		|	0		ACTIVATE = 0x0006;
53:27:194	|	281	|	00000001		|	C000000F		IME_SETCONTEXT = 0x0281;
53:27:194	|	282	|	00000002		|	0			IME_NOTIFY = 0x0282;
	53:27:194	|	7	|	00000000		|	0		SETFOCUS = 0x0007;

53:27:195	|	20	|	00F80C00		|	2010001			SETCURSOR = 0x0020;
53:27:195	|	201	|	00000001		|	11903DE			LBUTTONDOWN = 0x0201;

-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
53:34:465	|	21	|	00F80C00		|	2010002			MOUSEACTIVATE = 0x0021;
53:34:465	|	20	|	00F80C00		|	2010002			SETCURSOR = 0x0020;
53:34:465	|	A1	|	00000002		|	5903F0			NCLBUTTONDOWN = 0x00A1;

53:34:465	|	46	|	00000000		|	1C68D050		WINDOWPOSCHANGING = 0x0046;
53:34:466	|	47	|	00000000		|	1C68D050		WINDOWPOSCHANGED = 0x0047;
53:34:466	|	1C	|	00000001		|	0			ACTIVATEAPP = 0x001C;
53:34:466	|	86	|	00000001		|	0			NCACTIVATE = 0x0086;
 53:34:466	|	6	|	00000002		|	0		ACTIVATE = 0x0006;
53:34:466	|	281	|	00000001		|	C000000F		IME_SETCONTEXT = 0x0281;
53:34:466	|	282	|	00000002		|	0			IME_NOTIFY = 0x0282;
 53:34:466	|	7	|	00000000		|	0		SETFOCUS = 0x0007;

53:34:467	|	112	|	0000F012		|	5903F0			SYSCOMMAND = 0x0112;
53:34:490	|	86	|	00000001		|	0			NCACTIVATE = 0x0086;
53:34:491	|	46	|	00000000		|	1C68C2B0		WINDOWPOSCHANGING = 0x0046;
53:34:585	|	215	|	00000000		|	0			CAPTURECHANGED = 0x0215;
53:34:585	|	46	|	00000000		|	1C68C2B0		WINDOWPOSCHANGING = 0x0046;
53:34:585	|	47	|	00000000		|	1C68C2B0		WINDOWPOSCHANGED = 0x0047;
53:34:586	|	2A2	|	00000000		|	0			NCMOUSELEAVE = 0x02A2;
